	S0	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19
A0	977.5937021950368	985.306708158678	987.3995093491985	984.2544922225047	986.1618523861318	985.1545925123403	985.2354716757786	986.968797121814	989.3283739284751	982.1030731978356	990.0585024043386	983.2584756343724	986.8016013933998	984.0346828034278	983.6721813368723	984.0054801163737	987.2521109805319	978.141816709841	979.5988590325236	986.1160669146981
A1	988.8189479064954	989.0752202186388	989.4931459054565	989.0710780561784	988.9818139417961	988.9415924264096	989.3529758461937	989.5600784283873	987.8717229684987	989.1749072855083	989.3039348417117	989.0760520821258	988.6554308643694	988.5811775734314	989.1541888121598	988.0279518600031	988.3872192139186	989.8485965701985	991.0244661480602	989.289151711312
A2	981.115359891429	984.7580489450515	968.169698266462	975.1112600763344	968.4564960382222	982.9123220667499	971.443994869517	975.7721777554767	979.1678881665741	970.6293663944693	973.7974463201526	990.2368156132721	968.0985398221127	997.160088656876	993.205378705808	1001.6955242712286	983.0011475052999	984.3686549113711	982.3613681573243	963.2379457901318
A3	987.5083456911004	973.3845119380601	976.2219210109852	991.7235043090441	969.2484855286707	971.3726140309462	976.6773783534888	977.7130564805994	986.0772763443194	981.6348351150858	983.336794734864	986.265029900197	976.2722073592438	985.2484495265068	987.7374450153335	976.8519624719039	991.7769149425358	968.720233844817	978.578477306064	978.2958311926947
A4	1021.7530443806816	1024.9288226320416	953.7342573472592	994.5569458497342	1026.879202035955	1011.7304385081011	982.0080585505407	997.0446418460184	990.2109492233163	989.1883487769107	967.0109429977625	1009.2155276766342	1008.8155098174149	985.5514650167521	992.0085693253975	993.6615561337811	1013.0505454833641	993.0787459412247	1007.2016392998556	993.140244789816
A5	987.9018078095651	984.9532588226455	991.3911661779496	1000.1093903762887	987.0034384334712	994.6765181045039	997.4935782527117	998.5682717043051	999.1965206888414	979.2208639361888	994.3191602327514	994.2798955170389	989.047735945496	997.7817436641551	986.0971553359112	990.721986915526	995.2452655091503	999.011141818919	995.8713853526164	984.3094866090596
A6	987.0514203505265	973.0203531355202	976.5197669667515	985.5658786728058	1012.4540354560995	1015.0127797279646	966.1693437064388	956.9765371465577	965.5686363950184	962.8244232121506	976.804404806968	985.9641534892728	997.2991241106139	947.5380121613578	965.3816246015139	985.8085849119541	969.8231523660979	914.8737178793681	993.5987192418255	960.9382473226888
A7	983.9152963896162	970.6032851515428	1000.1789514581516	985.0406266208548	977.6626270633982	1002.3223902900828	971.6207440573553	984.2233826199441	985.5019915192715	972.751323351386	973.7774481142739	984.0500225856175	981.9490749944513	990.1969520766195	961.1809287790611	995.6986342993519	991.4177186368026	989.5994986613011	993.3912170093669	985.3496998420131
A8	972.3287838986615	967.350472522044	990.9977341492805	993.7010997371405	982.9837993472945	973.857793882126	993.8901546872069	997.6407380803486	967.9106025744258	998.2220061860065	979.5440494186053	998.6386541373646	966.5238498008105	975.3226809867848	1008.6436386278071	983.8030610911088	985.3195825363038	979.2241260082349	989.8051852926014	969.7851781433335
A9	917.7732546215398	920.3394396787048	930.2790828526208	930.0410715633574	938.8284046110356	931.9702980504409	916.1081587397539	927.3678910709997	929.3815471696364	925.8152615111676	934.3938612554957	942.6053499535298	912.1187010459679	924.5697299484989	942.6318831192841	927.0392330637367	934.2778288595376	921.7514970348408	928.8484736307737	931.8475653547109
A10	927.4555955644104	944.656672597037	931.4757405156791	931.8312996143202	953.9151774540584	926.5074035234876	930.9439434882806	955.2735983672547	932.1080153048691	959.7842225499319	920.3586424342375	925.3295297379518	933.1229993275165	939.7871047671969	942.3213216914136	950.1082736794248	958.4444441886404	954.3088671432499	916.5986256848186	940.4489435374709
A11	941.976905911917	942.6139938857117	943.4013073387662	941.9848867402482	942.7668781449073	942.5869010017095	941.4574119042154	942.4177112143432	943.0986494560146	942.3761916910186	942.0650387140454	942.4329164885868	944.0408707137112	942.117915171064	942.3055864336685	942.8433100344399	942.1978894784854	943.3609373460923	942.8394811159095	941.4827423379169
A12	948.5717551579781	933.119893297457	957.9830657440743	944.9476900506144	959.1642904366404	939.0059704624772	942.7728424853702	950.3503144636684	942.9695954066268	950.7806921177844	948.8902226749127	951.3412113238442	937.8916923076746	961.7028223047952	954.8284535370957	940.4762183875226	943.9917551727403	950.9404336129801	945.3467938728936	960.2097546724624
A13	923.9684792624455	923.9262476908928	923.7908240538135	923.4644766148199	924.026176872772	924.0109173894958	923.8122685543692	924.0536140318673	924.1021974915266	923.9870794161403	923.8836841921589	924.0143447010684	924.012692348128	924.0984121532208	923.8503257984387	923.7640958957628	923.970948034259	923.9598064514514	923.9059628328681	924.0032495749596
